name,destination,categories,review_tags,description,rating,num_reviews,lat,lon,url
Japan Panoramic Tours,Tokyo,"Tours,Outdoor Activities,City Tours,Eco Tours,Sightseeing Tours,Nature & Wildlife Tours,Bus Tours","guide,elgin,japan,mount fuji,day tour,great tour,station,ninja village,angela,english,hakone,sights,culture,clouds,knowledge,itinerary,amazing tokyo,highly recommend this tour,highlights,tokyo city,jokes,imperial palace,mao,mai","Hello everyone! We are Japan Panoramic Tours. We have run ""one day bus trip"" for about 7 years since 2016 and had about 70,000 passengers from over 135 countries so far. Our goal is to get international travelers to become big Japan fans through our tours. Thanks to such wonderful reviews written by past passengers on tripadvisor, we have received ""Certificate of Excellence"" in four years straight from 2017~2020. During our tour, our tour guide speaks in fluent English all the time. In addition, we have multi-lingual audio (EN, FR, IT, ES, ZH, TH, ID, UK) so that various travellers can get guidance in their mother languages. Because of the Covid-19, we couln't have our tours from 2021 and 2022 but this year, 2023, we are back! Everyone who joins our can make the most of the destinations because of our efficient tour itineraries. The visiting order of the stops are well-planed. Should you have any questions, please do not hesitate to contact us. Yours sincerely, Japan Panoramic Tours",5.0,15918,35.69554,139.69232,https://www.tripadvisor.com/Attraction_Review-g1066457-d9741667-Reviews-Japan_Panoramic_Tours-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html
Nihombashi Mitsukoshi Main Store,Tokyo,"Shopping,Department Stores","luxury brands,high end shopping",,4.0,284,35.68604,139.77426,https://www.tripadvisor.com/Attraction_Review-g1066444-d605049-Reviews-Nihombashi_Mitsukoshi_Main_Store-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
Mayuko's Little Kitchen Japanese Cooking Class,Tokyo,"Food & Drink,Classes & Workshops,Lessons & Workshops,Cooking Classes","japan,ingredients,gyoza,fish soup,culture,highlights,instructions,great teacher,learn how,activity,visiting tokyo,fun experience","""Learn a homestyle approach to simple & yummy Japanese dishes"". We offer you what Japanese people really eat as an everyday meal in a little private kitchen in the middle of Tokyo with a friendly atmosphere! Please inquire by E-mail or visit our Website!",5.0,919,35.68195,139.70685,https://www.tripadvisor.com/Attraction_Review-g14131014-d7353454-Reviews-Mayuko_s_Little_Kitchen_Japanese_Cooking_Class-Sendagaya_Shibuya_Tokyo_Tokyo_Pr.html
Shibamata Taishakuten (Taishakuten Daikyoji Temple),Tokyo,"Sights & Landmarks,Sacred & Religious Sites","temple,garden,train,panels,wood carvings,shopping street,film",,4.0,495,35.75831,139.87773,https://www.tripadvisor.com/Attraction_Review-g1066447-d1239469-Reviews-Shibamata_Taishakuten_Taishakuten_Daikyoji_Temple-Katsushika_Tokyo_Tokyo_Prefect.html
Sunshine Aquarium,Tokyo,"Zoos & Aquariums,Nature & Parks,Aquariums","seals,exhibits,mall,elevator,gift shop,rooftop,weekday,high rise,unusual animals,jellyfish exhibit,bit hard to find",,4.0,725,35.72893,139.72015,https://www.tripadvisor.com/Attraction_Review-g1066460-d1425386-Reviews-Sunshine_Aquarium-Toshima_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo International Forum,Tokyo,"Sights & Landmarks,Traveler Resources,Architectural Buildings,Points of Interest & Landmarks,Conference & Convention Centers",,,4.0,942,35.67709,139.76434,https://www.tripadvisor.com/Attraction_Review-g14129528-d480630-Reviews-Tokyo_International_Forum-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
21 21 DESIGN SIGHT,Tokyo,"Museums,Art Museums","exhibition,building,tadao ando,japan,midtown,stroll",,4.5,288,35.667522,139.73055,https://www.tripadvisor.com/Attraction_Review-g14129743-d1879897-Reviews-21_21_DESIGN_SIGHT-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
Mitsubishi Ichigokan Museum,Tokyo,"Sights & Landmarks,Museums,Architectural Buildings,Art Museums",,,4.5,436,35.678528,139.76334,https://www.tripadvisor.com/Attraction_Review-g14129528-d1604472-Reviews-Mitsubishi_Ichigokan_Museum-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
Toshogu Shrine,Tokyo,"Sights & Landmarks,Historic Sites,Sacred & Religious Sites","shrine,ueno park,japan,nikko,carvings,shogun,gold leaf,stone lanterns,monkeys,well worth a visit,mystical,sleeping,hundreds,trees,glamour,imaginary,emperor","Listed as a National Treasure, this shrine was constructed in 651 and dedicated to shogun Tokugawa leyasu. A second Toshogu Shrine is located in Nikko and both were built by leyasu's grandson.",4.0,535,35.715363,139.77065,https://www.tripadvisor.com/Attraction_Review-g14134278-d320867-Reviews-Toshogu_Shrine-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html
KUJIRA ENTERTAINMENT,Tokyo,"Nightlife,Fun & Games,Bars & Clubs,Other Fun & Games,Dance Clubs & Discos","tokyo,ami,foreigners,free drinks,great entertainment,hookah,fun night,great drinks,good vibes,english,lots of fun,performers,cool bar,night life,amazing night,super fun,shinjuku area,costumes,bars","Not a club, not a show pub, Our place is an entertainment restaurant that doesn't exist anywhere! We will guide guests to the unparalleled parallel world of ideas and technology! 【FOOD】【SERVICE】 【ART】 【AWESOME】【DRINK】【HOOKAH】We have made every effort to create ""immersive space production"" by making full use of LED vision and the latest digital equipment installed everywhere! Enjoy the ultimate entertainment restaurant, one step ahead of the times!",5.0,735,35.695095,139.70403,https://www.tripadvisor.com/Attraction_Review-g14133667-d12499438-Reviews-KUJIRA_ENTERTAINMENT-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo Metropolitan Art Museum,Tokyo,"Museums,Art Museums",,,4.0,547,35.71752,139.77316,https://www.tripadvisor.com/Attraction_Review-g14134278-d1425384-Reviews-Tokyo_Metropolitan_Art_Museum-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html
Ebisu Garden Place,Tokyo,"Shopping,Shopping Malls",tokyo,,4.0,485,35.642673,139.71362,https://www.tripadvisor.com/Attraction_Review-g14131018-d1373781-Reviews-Ebisu_Garden_Place-Ebisu_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html
Shin Okubo Korean Town,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks","tokyo,k pop,korea town,koreatown,phenomenon,ingredients",,4.0,1041,35.701447,139.70016,https://www.tripadvisor.com/Attraction_Review-g1066457-d1497818-Reviews-Shin_Okubo_Korean_Town-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo Metropolitan Teien Art Museum,Tokyo,"Museums,Art Museums","palace,japan,aristocracy",,4.5,384,35.636948,139.71904,https://www.tripadvisor.com/Attraction_Review-g14131029-d1373801-Reviews-Tokyo_Metropolitan_Teien_Art_Museum-Shirokanedai_Minato_Tokyo_Tokyo_Prefecture_.html
University of Tokyo,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks,Historic Walking Areas,Universities & Schools",,,4.0,519,35.712627,139.76196,https://www.tripadvisor.com/Attraction_Review-g1066442-d555344-Reviews-University_of_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo Camii & Turkish Culture Center,Tokyo,"Sights & Landmarks,Sacred & Religious Sites",,"Tokyo Camii, also known as Tokyo Mosque, is a mosque with an adjoining Turkish culture center located in the Ōyama-chō district of Shibuya ward in Tokyo, Japan. It is the largest mosque in Japan. The mosque was originally built along with an adjoining school on May 12, 1938 by Bashkir and Tatar immigrants from Russia who had come to Japan after the October Revolution. It was made under the direction of Abdürreşid İbrahim, the first Imam of the mosque, and Abdülhay Kurban Ali. In 1986, the mosque had to be demolished because of severe structural damage. Under the direction and support of Diyanet İşleri Başkanliği a new building was begun in 1998. The architect for the building was Muharrem Hilmi Senalp. The ornamentation was based on Ottoman religious architecture. Around 70 Turkish craftsmen performed the finishing details, and a considerable quantity of marble was imported from Turkey. The construction was completed in 2000. Tokyo Camii is 734 square meters in area. Its main dome is 23 meters tall and is supported by six pillars, while the adjacent minaret is 41 tall.",4.5,262,35.668243,139.67667,https://www.tripadvisor.com/Attraction_Review-g1066456-d2311984-Reviews-Tokyo_Camii_Turkish_Culture_Center-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html
Haneda Airport International Terminal Observation Deck,Tokyo,"Sights & Landmarks,Observation Decks & Towers",,,4.0,975,35.545315,139.76979,https://www.tripadvisor.com/Attraction_Review-g1066454-d3747566-Reviews-Haneda_Airport_International_Terminal_Observation_Deck-Ota_Tokyo_Tokyo_Prefectur.html
"The National Museum of Modern Art, Tokyo",Tokyo,"Museums,Art Museums","collection,paintings,tokyo,moma",,4.0,319,35.690544,139.7547,https://www.tripadvisor.com/Attraction_Review-g1066443-d320630-Reviews-The_National_Museum_of_Modern_Art_Tokyo-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
Godzilla Head,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks","shinjuku,hotel gracery,movie,smoke,roars,every hour,monster,toho,statue,noise,poking,landmark,novelty",,4.0,1059,35.69526,139.70224,https://www.tripadvisor.com/Attraction_Review-g14133667-d8048204-Reviews-Godzilla_Head-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html
Shitamachi Museum,Tokyo,"Museums,History Museums","museum,tokyo,century,guided tour,japanese rice,captions",,4.0,291,35.71023,139.77274,https://www.tripadvisor.com/Attraction_Review-g14134278-d479255-Reviews-Shitamachi_Museum-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html
Kasai Rinkai Park,Tokyo,"Sights & Landmarks,Nature & Parks,Parks,Points of Interest & Landmarks","ferris wheel,rinkai,sea,japan,bay,diamond,flowers,trees,glass building,tokyo disney resort,tallest,breeze",,4.0,436,35.64149,139.85745,https://www.tripadvisor.com/Attraction_Review-g1066445-d1927946-Reviews-Kasai_Rinkai_Park-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html
Shibuya 109,Tokyo,"Shopping,Shopping Malls","fashion,store,shops,shoes,trend,japanese brands,young ladies,escalator,department,twenties","This shopping mall near the Shibuya Scramble is the best place to go for unique and girly Japanese fashion. Shoes, clothes, costumes, beauty products, accessories, and food are all on offer.",4.0,610,35.659565,139.69902,https://www.tripadvisor.com/Attraction_Review-g1066456-d1896778-Reviews-Shibuya_109-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html
Kyu Iwasakitei Teien,Tokyo,"Sights & Landmarks,Nature & Parks,Gardens,Points of Interest & Landmarks,Historic Sites",,,4.0,318,35.709724,139.76733,https://www.tripadvisor.com/Attraction_Review-g1066461-d321036-Reviews-Kyu_Iwasakitei_Teien-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo National Museum The Heiseikan,Tokyo,"Museums,History Museums,Art Museums",,,4.5,260,35.71985,139.77579,https://www.tripadvisor.com/Attraction_Review-g14134278-d1879849-Reviews-Tokyo_National_Museum_The_Heiseikan-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html
Hanazono Shrine,Tokyo,"Sights & Landmarks,Sacred & Religious Sites",,,4.0,603,35.707275,139.70528,https://www.tripadvisor.com/Attraction_Review-g1066457-d320690-Reviews-Hanazono_Shrine-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html
Waho-An NATURE Tokyo,Tokyo,"Spas & Wellness,Spas","tokyo,posture,shiatsu massage,session,therapist,great massage,adjustments,muscles,alignment,relief,problem areas,lower back pain,pains,healing,lymphatic,stuffiness,assessment,long flight,practitioner,therapy,foreigners,hips,symptoms,neck pain,aligned,chronic,relieving,spinal","The concept of Waho-An NATURE Tokyo is to provide superior healing through targeted treatments that enable clients to enjoy a healthy life that is free from physical discomfort. Our therapies provide healing while at the same time relieving symptoms such as stiffness in the shoulders, lower back pain and knee pain. We can solve problems that have caused discomfort for many years and improve our clients’ health by dealing with issues related to poor posture and tiredness. We welcome overseas visitors and encourage you to visit us and relieve yourself of the tiredness from your strenuous travel itinerary. Please ensure your body is relaxed and healthy to enable you to enjoy your time in Japan and take home many happy memories. Reservations are available on the phone. (English ok)But when we are doing massages, we can not answer your calls. At that time, please email from the CONTACT US page from our website. Thank you.",5.0,1031,35.651203,139.70538,https://www.tripadvisor.com/Attraction_Review-g14134839-d7744338-Reviews-Waho_An_NATURE_Tokyo-Daikanyama_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html
Toyokawa Inari Tokyo Betsuin,Tokyo,"Sights & Landmarks,Sacred & Religious Sites",,,4.0,182,35.67665,139.73294,https://www.tripadvisor.com/Attraction_Review-g1066451-d480628-Reviews-Toyokawa_Inari_Tokyo_Betsuin-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
Shinagawa Aquarium,Tokyo,"Zoos & Aquariums,Nature & Parks,Aquariums","tank,sea world,sea animals",,4.0,437,35.588474,139.7375,https://www.tripadvisor.com/Attraction_Review-g1066854-d1425379-Reviews-Shinagawa_Aquarium-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html
Atago Shrine,Tokyo,"Sights & Landmarks,Sacred & Religious Sites","long flight of stairs,business district,attractions,central tokyo",,4.0,403,35.664757,139.7484,https://www.tripadvisor.com/Attraction_Review-g1066451-d561640-Reviews-Atago_Shrine-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo Daijingu Shrine,Tokyo,"Sights & Landmarks,Sacred & Religious Sites","shinto wedding,worshippers",,4.0,454,35.699806,139.7467,https://www.tripadvisor.com/Attraction_Review-g1066443-d1367901-Reviews-Tokyo_Daijingu_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
Jonanjima SeasidePark,Tokyo,"Nature & Parks,Parks",,,4.5,238,35.577915,139.7841,https://www.tripadvisor.com/Attraction_Review-g1066454-d1626639-Reviews-Jonanjima_SeasidePark-Ota_Tokyo_Tokyo_Prefecture_Kanto.html
Kokyo Gaien National Garden,Tokyo,"Sights & Landmarks,Nature & Parks,Parks,Historic Walking Areas",,,4.0,357,35.67697,139.75868,https://www.tripadvisor.com/Attraction_Review-g1066443-d480627-Reviews-Kokyo_Gaien_National_Garden-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
"St. Mary's Cathedral, Tokyo",Tokyo,"Sights & Landmarks,Sacred & Religious Sites","architecture,tokyo,mass",,4.5,146,35.714428,139.72644,https://www.tripadvisor.com/Attraction_Review-g1066442-d1373757-Reviews-St_Mary_s_Cathedral_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto.html
Unicorn Gundam Statue,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks,Monuments & Statues","odaiba,fans,diver city mall,gundam statue,movement,life size,model,east entrance,taking photos,yurikamome line,selfie",,4.0,197,35.624306,139.77554,https://www.tripadvisor.com/Attraction_Review-g1066449-d13428361-Reviews-Unicorn_Gundam_Statue-Koto_Tokyo_Tokyo_Prefecture_Kanto.html
Yushima Tenmangu,Tokyo,"Sights & Landmarks,Sacred & Religious Sites",,"Yushima was founded in 1355 but the main building was re-built in the 1880s. The stunning bronze gate is over 200 years old. In fact this shrine is as well known for its plum garden as it is for its association with the main shrine in Kyushu, which honors a Heian poet, Michizane Sugawara.",4.0,469,35.70762,139.76819,https://www.tripadvisor.com/Attraction_Review-g1066442-d1373753-Reviews-Yushima_Tenmangu-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto.html
Tsukishima Monjya Street,Tokyo,Other,,,4.0,717,35.664783,139.78311,https://www.tripadvisor.com/Attraction_Review-g14129637-d1486920-Reviews-Tsukishima_Monjya_Street-Tsukishima_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
Fuji TV Odaiba,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks",,"On Odaiba, an artificial island developed to showcase futuristic living, the Fuji TV Building is an eye-catching landmark. It sits like a docked space shuttle atop a hyper-modern lattice building.",4.0,687,35.62698,139.77455,https://www.tripadvisor.com/Attraction_Review-g14134368-d1315618-Reviews-Fuji_TV_Odaiba-Daiba_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
Sugamo Jizo-dori Shopping Street,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks",,,4.0,593,35.735405,139.73537,https://www.tripadvisor.com/Attraction_Review-g14134309-d1373813-Reviews-Sugamo_Jizo_dori_Shopping_Street-Sugamo_Toshima_Tokyo_Tokyo_Prefecture_Kanto.html
Roppongi District,Tokyo,"Sights & Landmarks,Other,Neighborhoods","worth a visit,high end shops",,4.0,802,35.662525,139.7311,https://www.tripadvisor.com/Attraction_Review-g1066451-d1373795-Reviews-Roppongi_District-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
Kyu-Furukawa Gardens,Tokyo,"Sights & Landmarks,Nature & Parks,Gardens,Points of Interest & Landmarks,Historic Sites",,,4.0,341,35.74256,139.74615,https://www.tripadvisor.com/Attraction_Review-g1066448-d1373689-Reviews-Kyu_Furukawa_Gardens-Kita_Tokyo_Tokyo_Prefecture_Kanto.html
National Diet Building,Tokyo,"Sights & Landmarks,Government Buildings",,,4.0,402,35.675797,139.74501,https://www.tripadvisor.com/Attraction_Review-g1066443-d1373708-Reviews-National_Diet_Building-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
Artizon Museum,Tokyo,"Museums,Art Museums","artists,bridgestone,cezanne,japanese art,portraits","The Artizon Museum, operated by the Ishibashi Foundation and formerly known as the Bridgestone Museum of Art, opened in January 2020 as a new museum at the same location in Kyobashi, Tokyo. The new name, Artizon, was coined by combining the words art and horizon to reflect the museum’s determination to impart a sense of new horizons in pioneering art. The concept of the museum is “experiencing creativity.” In addition to the Impressionist and Japanese Western-style paintings from the modern period for which the Ishibashi Foundation Collection is renowned, new acquisitions include Postwar abstract paintings and early Japanese arts from the Edo period. These additions to the collection enlarge its breadth and depth, and they also make it possible to mount exhibitions that span from ancient periods to contemporary art.",4.0,201,35.678864,139.77188,https://www.tripadvisor.com/Attraction_Review-g1066444-d320621-Reviews-Artizon_Museum-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
Aqua City Odaiba,Tokyo,"Shopping,Shopping Malls","rainbow bridge,odaiba,aqua city,statue of liberty,view,disney store,hilton,top floor,district,hotpot,big shopping,scandinavian","This shopping mall with a view is on Odaiba, Tokyo's man-made island. Here, find more than 80 stores-including international and local clothing shops-plus dozens of restaurants.",4.0,489,35.627647,139.77293,https://www.tripadvisor.com/Attraction_Review-g14134368-d1927987-Reviews-Aqua_City_Odaiba-Daiba_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
Museum of Yebisu Beer,Tokyo,"Museums,Specialty Museums",,A free short tour explains the historic beer-making process and showcases vintage advertisements. Samples are available for purchase after the tour at rock bottom rates--only ¥500 for four.,4.0,519,35.643204,139.71452,https://www.tripadvisor.com/Attraction_Review-g14131018-d320614-Reviews-Museum_of_Yebisu_Beer-Ebisu_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html
Todoroki Valley,Tokyo,"Nature & Parks,Valleys","tokyo,station,shrine,ravine,line,tokyu,river,scenic,busy city",,4.0,420,35.606003,139.64557,https://www.tripadvisor.com/Attraction_Review-g1066455-d1373670-Reviews-Todoroki_Valley-Setagaya_Tokyo_Tokyo_Prefecture_Kanto.html
Sumida River,Tokyo,"Nature & Parks,Bodies of Water","boats,commentary,stroll,different perspective","During the Edo period, lords and ladies took a boat along the Sumida River to Asakusa and the Sensoji Temple. Today, a sightseeing boat takes a similar route departing from the traditional Hama Rikya Garden.",4.0,390,35.710564,139.79962,https://www.tripadvisor.com/Attraction_Review-g298184-d555385-Reviews-Sumida_River-Tokyo_Tokyo_Prefecture_Kanto.html
Kitte Marunouchi,Tokyo,"Shopping,Shopping Malls",tokyo station,"This department store located next to Tokyo Station contains upmarket shops, restaurants, and a free museum. The sixth floor has an outdoor terrace with a great view of Tokyo Station.",4.0,717,35.679813,139.76508,https://www.tripadvisor.com/Attraction_Review-g14129528-d4006147-Reviews-Kitte_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
Asahi Beer Headquarters,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks","tokyo skytree,shrine",,4.0,472,35.710155,139.80064,https://www.tripadvisor.com/Attraction_Review-g1066459-d2058913-Reviews-Asahi_Beer_Headquarters-Sumida_Tokyo_Tokyo_Prefecture_Kanto.html
Kameido Tenjinsha,Tokyo,"Sights & Landmarks,Sacred & Religious Sites","wisteria,shrine,bridge,turtles,blooming,large pond,herons,koi,carved,nature",,4.0,470,35.70307,139.82065,https://www.tripadvisor.com/Attraction_Review-g14134355-d1373775-Reviews-Kameido_Tenjinsha-Kameido_Koto_Tokyo_Tokyo_Prefecture_Kanto.html
Subway Museum,Tokyo,"Museums,Specialty Museums","kasai station,exhibits,admission,model,tokyo station",,4.0,204,35.66345,139.87387,https://www.tripadvisor.com/Attraction_Review-g1066445-d593028-Reviews-Subway_Museum-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html
LaQua,Tokyo,"Sights & Landmarks,Water & Amusement Parks,Theme Parks,Points of Interest & Landmarks","healing,spa area,users",,4.0,568,35.706615,139.75331,https://www.tripadvisor.com/Attraction_Review-g1066442-d657907-Reviews-LaQua-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto.html
Sumida Aquarium,Tokyo,"Zoos & Aquariums,Nature & Parks,Aquariums","jellyfish,tokyo skytree,species,sea life",,4.0,855,35.70995,139.8097,https://www.tripadvisor.com/Attraction_Review-g14134337-d3171708-Reviews-Sumida_Aquarium-Oshiage_Sumida_Tokyo_Tokyo_Prefecture_Kanto.html
Fire Museum,Tokyo,"Museums,Specialty Museums",,,4.0,267,35.688198,139.71986,https://www.tripadvisor.com/Attraction_Review-g14133659-d561707-Reviews-Fire_Museum-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo Big Sight,Tokyo,"Sights & Landmarks,Traveler Resources,Conference & Convention Centers,Architectural Buildings,Points of Interest & Landmarks",,,3.5,680,35.633293,139.79347,https://www.tripadvisor.com/Attraction_Review-g14134362-d555397-Reviews-Tokyo_Big_Sight-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto.html
Museum of Contemporary Art Tokyo,Tokyo,"Museums,Art Museums",,,4.0,254,35.67964,139.8081,https://www.tripadvisor.com/Attraction_Review-g1066449-d320629-Reviews-Museum_of_Contemporary_Art_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto.html
Meiji Shrine Imperial Garden,Tokyo,"Sights & Landmarks,Nature & Parks,Gardens,Points of Interest & Landmarks","shrine,meiji,japanese garden",,4.5,238,35.67401,139.69865,https://www.tripadvisor.com/Attraction_Review-g1066456-d11946308-Reviews-Meiji_Shrine_Imperial_Garden-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html
Nissan Crossing,Tokyo,"Museums,Specialty Museums",,"NISSAN CROSSING is the home base of Nissan Intelligent Mobility, where customers can experience Nissan’s vision of the future of driving. NISSAN CROSSING’s iconic design is based on a “Spiral” motif. This spiral design symbolizes our customers’ experiences on their journey from past, to present, to future with Nissan. By changing the color, look, and feel of the spiral based on seasons, exhibition and events, we create an ever-changing experiential space for our visitors in heart of Ginza. Architectural designs previously thought impossible by conventional means have now been realized using the latest digital processing technologies, which are likewise being used in automobile design. Immerse yourself in state-of-the-art technologies at NISSAN CROSSING, Ginza’s newest landmark, where tradition and innovation collide to create uniquely new trends and experiences.",4.0,242,35.67089,139.76505,https://www.tripadvisor.com/Attraction_Review-g14129573-d8148431-Reviews-Nissan_Crossing-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
Bunkyo Civic Center,Tokyo,"Sights & Landmarks,Civic Centers","observation deck,mt fuji,skyline",,4.0,301,35.70795,139.75285,https://www.tripadvisor.com/Attraction_Review-g1066442-d3672866-Reviews-Bunkyo_Civic_Center-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto.html
Bank of Japan Currency Museum,Tokyo,"Museums,Specialty Museums",,,4.0,235,35.68537,139.77179,https://www.tripadvisor.com/Attraction_Review-g1066444-d561631-Reviews-Bank_of_Japan_Currency_Museum-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
The Sumida Hokusai Museum,Tokyo,"Museums,Art Museums","art,tokyo,master,special exhibit,permanent collection,admire","The famed ukiyo-e artist, Katsushika Hokusai, is best known for his iconic print Under the Wave off Kanagawa, from the series Thirty-six Views of Mount Fuji. Born and raised in Tokyo’s Sumida Ward, Hokusai was active in the late Edo period and achieved recognition beyond Japan for his works. At the Sumida Hokusai Museum, dedicated to its namesake artist, enjoy an in-depth introduction to Hokusai’s life and works through life-size high-resolution replicas, accompanied by multilingual panels. Original artworks are also displayed in the special exhibition.",4.0,278,35.69633,139.80042,https://www.tripadvisor.com/Attraction_Review-g1066459-d8673830-Reviews-The_Sumida_Hokusai_Museum-Sumida_Tokyo_Tokyo_Prefecture_Kanto.html
Ginza Six,Tokyo,"Shopping,Shopping Malls","top floor,dior,luxury mall,rooftop terrace","This shopping complex opened in 2017 and provides the ultimate high-end shopping experience, with more than 200 shops, a rooftop garden, a premium lounge, personal stylists, and a concierge service.",4.0,430,35.669617,139.764,https://www.tripadvisor.com/Attraction_Review-g14129573-d12350067-Reviews-Ginza_Six-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
ASAKUSA HANAYASHIKI,Tokyo,"Water & Amusement Parks,Theme Parks","bikes,amusement park","HANAYASHIKI, Japan’s first and oldest amusement park has been around since 1853. It originally began as a flower park, until its management started added in more attractions to transform it into an amusement park.",4.0,349,35.715412,139.79486,https://www.tripadvisor.com/Attraction_Review-g14134311-d614123-Reviews-ASAKUSA_HANAYASHIKI-Asakusa_Taito_Tokyo_Tokyo_Prefecture_Kanto.html
Nippori Fabric Town,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks","shop,quilter,quilting",,4.5,151,35.72864,139.77614,https://www.tripadvisor.com/Attraction_Review-g1066441-d2554872-Reviews-Nippori_Fabric_Town-Arakawa_Tokyo_Tokyo_Prefecture_Kanto.html
Shinobazu Pond,Tokyo,"Nature & Parks,Bodies of Water","water lilies,greenery",,4.0,507,35.711327,139.77129,https://www.tripadvisor.com/Attraction_Review-g14134278-d3747622-Reviews-Shinobazu_Pond-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html
Shinjuku West Exit Camera Town,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks",,,4.0,539,35.694183,139.6929,https://www.tripadvisor.com/Attraction_Review-g14133673-d1373766-Reviews-Shinjuku_West_Exit_Camera_Town-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Ka.html
Sumida Park,Tokyo,"Nature & Parks,Parks","trees,tokyo skytree,cherry blossoms,view,asakusa station,blooming,river walk",,4.0,284,35.711895,139.8041,https://www.tripadvisor.com/Attraction_Review-g14134348-d2549569-Reviews-Sumida_Park-Mukou_jima_Sumida_Tokyo_Tokyo_Prefecture_Kanto.html
Nihonbashi Bridge,Tokyo,"Sights & Landmarks,Bridges",,The OIRAN Experience Tokyo This is the Photo Studio which you can enjoy photography in the KIMONO of OIRAN. We provide not only the wearing KIMONO but also the hair&make-up and the photo shooting of professional photographer(Around 20 cut).This is the service to be able to enjoy easily in abut 90 minutes. Let's enjoy the OIRAN photography!! ＊It is impossible to be outside the studio with KIMONO dress. Only photo shooting in this studio. Presented by Photo Graphico Photo Studio,4.0,788,35.68394,139.7745,https://www.tripadvisor.com/Attraction_Review-g14129589-d1373671-Reviews-Nihonbashi_Bridge-Nihonbashi_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
Kitanomaru Park,Tokyo,"Sights & Landmarks,Nature & Parks,Parks,Historic Sites","imperial palace,cherry",,4.0,260,35.69179,139.75052,https://www.tripadvisor.com/Attraction_Review-g1066443-d1373694-Reviews-Kitanomaru_Park-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
