input,aspect_terms,aspect_category
"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .",food, food quality
"whether it  s the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite .",parmesean porcini souffle, food quality
"although the tables may be closely situated , the candle - light , food - quality and service overcompensate .",tables, ambience general
a guaranteeed delight !,NULL, restaurant general
"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices .",food, food quality
"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious .",marinara / arrabiatta sauce, food quality
i pray it stays open forever .,NULL, restaurant general
"i found the food , service and value exceptional everytime i have been there .",food, food quality
i felt as though i were eating in paris .,NULL, food quality
the service was excellent - friendly and attentive .,service, service general
the prices are wonderfully low .,NULL, restaurant prices
very good wine choices .,wine choices, drinks style_options
who has room for cheesesticks with the best pizza in nyc !,pizza, food quality
get the pepperoni - yum - and a family style salad .,pepperoni, food quality
great staff .,staff, service general
always great service !,service, service general
i go twice a month !,NULL, restaurant general
"the food is good , i ca n  t lie .",food, food quality
the hostess and the waitress were incredibly rude and did everything they could to rush us out .,hostess, service general
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,waitress, service general
"this place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",place, restaurant prices
save yourself the time and trouble and skip this one !,NULL, restaurant general
amma is nothing special .,amma, restaurant general
i ate here a week ago and found most dishes average at best and too expensive .,dishes, food quality
will not be back .,NULL, restaurant general
"do n  t dine at tamarind for the vegetarian dishes , they are simply not up to par with the non - veg selections .",vegetarian dishes, food quality
this place is always packed .,place, ambience general
"most importantly , food is excellent .",food, food quality
try the sea bass .,sea bass, food quality
highly recommended .,NULL, restaurant general
first of all dal bukhara rocks .,dal bukhara rocks ., food quality
i am happy i did the food was awsome .,food, food quality
and yes dal bukhara is so dam good and so are all the kababs .,kababs, food quality
but overall i give it a 10,NULL, restaurant general
10,NULL, restaurant general
haru on park s is simply disgusting .,haru on park s, restaurant general
the fish was not fresh and the rice tasted old and stale .,fish, food quality
"quite frankly , this is some of the worst sushi i have ever tried .",sushi, food quality
will never be back .,NULL, restaurant general
honestly the worst sushi my husband and i had in our entire lives .,sushi, food quality
not sure why this restaurant would be rated that highly .,restaurant, restaurant general
the all - u - can - eat sushi is definitely in very poor quality .,all - u - can - eat sushi, food quality
wont come back again for sure !,NULL, restaurant general
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",soy sauce, food quality
the waitstaffs are nice though .,waitstaffs, service general
i have been to roth  s twice and both times were very disappointing .,roth  s, restaurant general
"both times i was extremely dissappointed by the service , which was boarderline rude .",service, service general
they wouldnt even let me finish my glass of wine before offering another .,NULL, service general
much of the time it seems like they do not care about you .,NULL, service general
"the dinner was ok , nothing i would have again .",dinner, food quality
this was a great surprise .,NULL, restaurant general
i look forward to eating here again,NULL, restaurant general
planet thai is great !,planet thai, restaurant general
"we love the food , drinks , and atmosphere !",food, food quality
"the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",svc, service general
"try the pad thai , it  s fabulous and their prices are so cheap !",pad thai, food quality
"just because it  s cheap does not mean the portions are small or the food is nasty , it is great !",portions, food style_options
"they forgot a sandwich , did n  t include plastic forks , and did n  t include pita with the hummus platter .",NULL, service general
"also , the sandwiches ( nearing $ 7 ) did n  t come with anything like chips or a side .",sandwiches, food style_options
"overall , not worth the money .",NULL, restaurant general
"eating in , the atmosphere saves it , but at your desk , it  s a very disappointing experience .",atmosphere, ambience general
chennai garden is my favorite indian restaurant in the city .,chennai garden, restaurant general
they have authentic indian at amazing prices .,indian, food quality
this restaurant is vegetarian ; there are no meat dishes whatsoever .,meat dishes, food style_options
the seats are uncomfortable if you are sitting against the wall on wooden benches .,seats, ambience general
it  s a rather cramped and busy restaurant and it closes early .,restaurant, restaurant miscellaneous
the food is tasty and portion sizes are appropriate .,food, food quality
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,restaurant, restaurant miscellaneous
not a great place for family or general dining .,place, restaurant miscellaneous
food is excellent .,food, food quality
fish is so very fresh .,fish, food quality
waitstaff are very friendly .,waitstaff, service general
love yuka .,yuka, restaurant general
mermaid inn is an overall good restaurant with really good seafood .,seafood, food quality
the lobster sandwich is good and the spaghetti with scallops and shrimp is great .,lobster sandwich, food quality
the service is good and ambience is good for a date or group outing .,service, service general
the only fallback on this restaurant is the prices .,restaurant, restaurant prices
"even though its good seafood , the prices are too high .",seafood, food quality
the lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,lobster sandwich, food quality
we were very pleasantly surprised .,NULL, restaurant general
"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .",food, food quality
"when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",waiter, service general
truly the mark of an attentive waiter .,waiter, service general
i highly recommend the restaurant based on our experience last night .,restaurant, restaurant general
we ate at this thai place following the reviews but very unhappy with the foods .,foods, food quality
we thought that this place is using too much of msg cooking in the foods .,foods, food quality
"they do n  t concern much of customer  s health , just want to make money .",NULL, restaurant miscellaneous
please do n  t fool us .,NULL, restaurant miscellaneous
"i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",jelly fish, food quality
the food is so cheap and the waiters are nice .,food, food prices
"of course , it is crowded but who cares .",NULL, ambience general
authentic shanghai style and i can not recommend a better shanghai place in new york .,NULL, restaurant miscellaneous
have frequented  ino for several years and the food remains excellent .,food, food quality
cheese plate is a varied delight and great bargain at $ 10 .,cheese plate, food quality
"the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",bruschettas, food style_options
"( the asparagus , truffle oil , parmesan bruschetta is a winner ! )",asparagus, food quality
"be sure to try the seasonal , and always delicious , specials .",specials, food quality
definitely a neighborhood favorite .,NULL, restaurant general
i loved this place ! !,place, restaurant general
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded .,atmosphere, ambience general
"i like cafe noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",people, service general
"the service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",service, service general
"the waitress , seems to be more concerned of looking good than actually waitressing .",waitress, service general
"after dinner the manager grabbed my boyfriend , asked him : where are you from . . . maybe you dont know how things work in america . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",manager, service general
"we did tip , i guess the model / waitress just wanted more and complained to the manager .",waitress, service general
pizza here is consistently good .,pizza, food quality
salads are a delicious way to begin the meal .,salads, food quality
it is thick and slightly soggy .,NULL, food quality
decor is charming .,decor, ambience general
service is average .,service, service general
what a great place .,place, restaurant general
"the ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",ambience, ambience general
"i was n  t thrilled to have to wait on line for thirty minutes , but i guess that  s the price you pay for a popular place .",NULL, service general
i would definitely recommend sea if you like thai cuisine !,thai cuisine, food quality
i was here a few weeks back and we had the worst customer service experience at a restaurant ever .,customer service, service general
"a gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",gentleman, service general
"while it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",NULL, service general
never again !,NULL, restaurant general
i absolutely loved this place .,place, restaurant general
"excellent atmosphere , delicious dishes good and friendly service .",atmosphere, ambience general
this is can became on e of the ny italian food fare institutions .,NULL, restaurant general
i think that it is absolutely brilliant and well runned business operation .,NULL, restaurant general
the wine list is also really nice .,wine list, drinks style_options
i have been to casimir over 5 times and i have always had a great time there .,casimir, restaurant general
the food is great and reasonably priced .,food, food quality
"i have tried to make reservations , but both times , the hostess did n  t have my name .",hostess, service general
"if the weather is nice , try to snag an outside table .",outside table, ambience general
"the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",staff, service general
my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .,NULL, restaurant general
"from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .",caviar, food quality
"considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff, service general
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .,caviar, food quality
nice family owned traditional restaurant .,restaurant, restaurant general
i was pleasantly surprised to find this gem in hoboken .,NULL, restaurant general
"i found the food to be outstanding , particulary the salmon dish i had .",food, food quality
"i also ordered the change mojito , which was out of this world .",change mojito, drinks quality
"my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .",dim sum, food quality
"we ate out in the back patio , which is worth it as it  s cool and the music is hear well there .",back patio, ambience general
"overall , excellent restaurant !",restaurant, restaurant general
the food was good .,food, food quality
the place was nice and calm .,place, ambience general
but the service was a bit slow .,service, service general
the buffet had a nice selection .,buffet, food style_options
the food was average or above including some surprising tasty dishes .,food, food quality
service was also very good .,service, service general
i would go back .,NULL, restaurant general
i got an excellent piece of cheesecake and we had several other nice pastries .,cheesecake, food quality
"i would recommend roxy  s for that , but not for their food .",food, food quality
my son and his girlfriend both wanted cheeseburgers and they were huge !,cheeseburgers, food style_options
"but , they were too big for the bun .",NULL, food style_options
"consequently , their burgers fell apart in their hands and made such a mess that they did  nt feel like finishing them .",burgers, food style_options
also they were $ 15 each !,NULL, food prices
i had a huge pastrami sandwich on a roll .,pastrami sandwich on a roll, food style_options
it was $ 14 not really bad for a pound of pastrami - but it did n  t have much taste - i  ve had better for less elsewhere !,NULL, food prices
"this place is really trendi but they have forgotten about the most important part of a restaurant , the food .",food, food quality
"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .",food, food quality
and the tom kha soup was pathetic .,tom kha soup, food quality
if you want good authentic thai this place is not the place to go .,thai, food quality
"we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .",food, food quality
"the pesto pizza was excellent , thin - crust pizza with a nice amount of spicy italian cheese that i  d never heard of before .",pesto pizza, food quality
"conveniently located too , being right on bedford ave .",NULL, location general
"the back garden sitting area is very pleasant , where you can see their personal herb garden .",back garden sitting area, ambience general
we had the lobster sandwich and it was fantastic .,lobster sandwich, food quality
"my husband said he could  ve eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",portion, food style_options
we had the scallops as an appetizer and they were delicious and the sauce was wonderful .,scallops, food quality
we waited at the bar and had martinis that were just right .,martinis, drinks quality
love the food .,food, food quality
it  s the only place you can get yummy authentic japanese comfort food .,japanese comfort food, food quality
and you ca n  t beat the prices .,NULL, restaurant prices
i  ve lived in ny for 5 years and this place has it all .,place, restaurant general
"great food , good size menu , great service and an unpretensious setting .",food, food quality
"the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i  ve ever had ) .",dishes, food quality
i  m glad i was introduced to this place and this is a rare gem in ny .,place, restaurant general
"the freshest , best variety , and the fastest delivery .",delivery, service general
also very inexpensive .,NULL, restaurant prices
the service was excellent and the food was delicious .,service, service general
"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",sushi, food quality
definitely a great spot for a nice occasion or date .,spot, restaurant miscellaneous
"average to good thai food , but terrible delivery .",thai food, food quality
i  ve waited over one hour for food .,NULL, service general
they were very abrupt with me when i called and actually claimed the food was late because they were out of rice .,NULL, service general
a thai restaurant out of rice during dinner ?,thai restaurant, restaurant miscellaneous
"the food arrived 20 minutes after i called , cold and soggy .",food, food quality
this is a wonderful place on all stand points especially value ofr money .,place, restaurant prices
an excellent service,service, service general
we were greeted promptly by the waiter who was very nice and cordial .,waiter, service general
she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food .,dishes, food quality
the food looked very appetizing and delicious since it came on a variety of fancy plates .,food, food style_options
we ended our great experience by having gulab jamun ( dessert ) recommended by the waiter .,NULL, restaurant general
i thanked my friend who recommended me this restaurant and will certainly recommend it to others .,restaurant, restaurant general
"service here was great , food was fantastic .",service, service general
"guacamole + shrimp appetizer was really great , we both had the filet , very good , did n  t much like the frites that came with , but the filet was so good , neither of us cared .",guacamole + shrimp appetizer, food quality
will absolutely visit again .,NULL, restaurant general
you can not go wrong with this place .,place, restaurant general
"the food is outstanding and the service is quick , friendly and very professional .",food, food quality
"always a nice crowd , but never loud .",crowd, restaurant miscellaneous
go here .,NULL, restaurant general
good for dates or with friends .,NULL, restaurant miscellaneous
i am reluctant to write because i would not want my jem of a pizza place to become overcrowded .,pizza place, restaurant miscellaneous
"however , it is jus too good to not praise it .",NULL, restaurant general
"by far , the best pizza in manhattan .",pizza, food quality
"the crust is thin , the ingredients are fresh and the staff is friendly .",crust, food quality
the menu has so many fish items and oysters .,menu, food style_options
"the fish was really , really fresh .",fish, food quality
we all agreed that mare is one of the best seafood restaurants in new york .,mare, restaurant general
i stumbled upon this great pizzeria as i explored my new neighborhood .,pizzeria, restaurant general
all of the pizzas are terrific and the price is even better !,pizzas, food quality
i highly recommend the sophia pizza .,sophia pizza, food quality
it  s to die for !,NULL, food quality
the food was mediocre at best but it was the horrible service that made me vow never to go back .,food, food quality
"immediately after we paid , the waiter took the money and said , okay , you guys are outta here .",waiter, service general
so rushing us out was absolutely unnecessary !,NULL, service general
"for the people who want great food plus great service , roxy is a place to avoid !",food, food quality
"the first time the sushi was outstanding , the second time it was a little bland .",sushi, food quality
i  m sure i  ll return for a final judgement tho .,NULL, restaurant general
"the blond wood decor is very soothing , the premium sake is excellent and the service is great .",blond wood decor, ambience general
mizu is the japenese find in grammercy .,mizu, restaurant general
"while their kitchen food is delicious , their sushi is out of this world .",kitchen food, food quality
mizu is home to creative and unique rolls not to found anywhere else .,rolls, food style_options
"not only is the cuisine the best around , the service has always been attentive and charming .",cuisine, food quality
warning : you may find it difficult to dine at other japanese restaurants after a visit to mizu !,mizu, restaurant general
"the entree was bland and small , dessert was not inspired .",entree, food quality
i expected quite a bit more from such an expensive menu .,menu, food prices
"the view is spectacular , and the food is great .",view, location general
wonderful strawberry daiquiries as well !,strawberry daiquiries, drinks quality
definitely worth the trip to battery park city !,NULL, restaurant general
one of my favorite places in manhattan .,NULL, restaurant general
authentic taiwanese food that  s cheap . . . what more could you ask for ?,taiwanese food, food quality
( besides that there should be more restaurants like it around the city ) .,NULL, restaurant general
the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan .,cold appetizer dishes, food quality
delicious simple food in nice outdoor atmosphere .,food, food quality
"kind , attentive wait staff .",wait staff, service general
i really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .,scallops, food quality
my friend devoured her chicken and mashed potatos .,chicken and mashed potatos, food quality
delicious crab cakes too .,crab cakes, food quality
"even if the food was n  t this good , the garden is a great place to sit outside and relax .",garden, ambience general
great neighborhood joint .,joint, restaurant general
this is a nice pizza place with good selection of thin crust pizza including the basil slice .,selection of thin crust pizza, food style_options
"their calzones are horrific , bad , vomit - inducing , yuck .",calzones, food quality
they smell like they stuff them with old canned vegetables like the spinach mushroom calzone .,NULL, food quality
the counter service is bad .,counter service, service general
they charge different prices all the time .,NULL, service general
"they  re rude at times , and not very friendly .",NULL, service general
no pizza 33 for me !,pizza 33, restaurant general
"anybody who likes this place must be from a different planet , where greasy , dry and tasteless are complimentary .",NULL, food quality
"the dosas are skimpy , unattractive and drip with grease , and personally i  d drink popcorn topping before i  d eat another one of these .",dosas, food style_options
"the sandwiches are dry , tasteless and way overpriced .",sandwiches, food quality
"calling the place hampton chutney co . does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .",place, restaurant general
"seriously , this place kicks ass .",place, restaurant general
"the atmosphere is unheralded , the service impecible , and the food magnificant .",atmosphere, ambience general
"best italian food i ever had ( and being italian , that means alot ) .",italian food, food quality
"it is nearly impossible to get a table , so if you ever have the chance to go here for dinner , do not pass it up .",NULL, restaurant general
"this is such a lovely , peaceful place to eat outside .",place, ambience general
the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty .,restaurant, location general
"it is set far from the small street it  s on , and there is no traffic noise .",NULL, location general
"this is a great place to take out - of - towners , and perfect for watching the sunset .",place, location general
great sushi experience .,sushi, food quality
nice value .,NULL, restaurant prices
unique apppetizers .,apppetizers, food quality
try sushimi cucumber roll .,sushimi cucumber roll, food quality
"good spreads , great beverage selections and bagels really tasty .",spreads, food quality
murray wo n  t do it .,NULL, service general
but who says murray  s is anything about service .,service, service general
"so close , but not good enough .",NULL, restaurant general
do n  t be fooled by crowds of people .,NULL, restaurant miscellaneous
the service is awful .,service, service general
this place is not worth the prices .,place, restaurant general
"also , do n  t plan on asking for your favorite roll , if it  s not on the menu , you ca n  t have it .",NULL, service general
love pizza 33 . . .,pizza 33, restaurant general
i will be out with friends and all of a sudden i am hungry and i only crave one thing . . . their pizza .,pizza, food quality
it hits the spot every time,NULL, restaurant general
this tiny williamsburg spot is always pleasantly surprising .,williamsburg spot, restaurant general
the pizza is delicious and the proprietor is one of the nicest in nyc .,pizza, food quality
they even scoop it out nice ( for those on a diet ) not too much not to little .,NULL, food style_options
the cream cheeses are out of this world and i love that coffee ! !,cream cheeses, food quality
a little crowded but they move that line really fast !,NULL, service general
a little pricey but it really hits the spot on a sunday morning !,NULL, restaurant prices
"bagels are ok , but be sure not to make any special requests !",bagels, food quality
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !,manager, service general
be sure not to get anything other than bagels ! . .,bagels, food quality
the worst excuse for japanese food i  ve ever encountered .,NULL, restaurant miscellaneous
the soup for the udon was soy sauce and water .,soup for the udon, food quality
the sushi was awful !,sushi, food quality
the rice was poor quality and was cooked so badly it was hard .,rice, food quality
"furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",rice, food quality
"the fish was adequate , but inexpertly sliced .",fish, food style_options
it is obvious that no one in the restaurant has any idea about or experience with japanese cuisine .,japanese cuisine, food quality
"good , fast service .",service, service general
i would highly recommend .,NULL, restaurant general
food is great and inexpensive .,food, food quality
the location is perfect .,location, location general
give it a try and enjoy .,NULL, restaurant general
"well , this place is so ghetto its not even funny .",place, ambience general
if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you  ll love it here .,bottle, drinks prices
would never go back there .,NULL, restaurant general
awsome pizza especially the margheritta slice .,pizza, food quality
always busy but fast moving .,NULL, service general
great atmoshere and worth every bit .,atmoshere, ambience general
open late ( well as late as i ever got there and i  m a night person ),NULL, restaurant miscellaneous
winnie and her staff are the best crew you can find serving you .,winnie, service general
the food is reliable and the price is moderate .,food, food quality
what more can you ask for ?,NULL, restaurant general
everything about this restaurant was special .,restaurant, restaurant general
"the service was attentive , yet discreet .",service, service general
the flavors robust and subtle .,NULL, food quality
the brioche and lollies as party favors is a cute and sweet touch to a most memorable meal .,brioche and lollies, food quality
i  m saving up for my next visit .,NULL, restaurant general
the place was quiet and delightful .,place, ambience general
i did not try the caviar but i tried their salmon and crab salad ( they are all good ),salmon, food quality
"as a retired hipster , i can say with some degree of certainty that for the last year lucky strike has been the best laid - back late night in the city .",lucky strike, restaurant general
"the wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she  s - way - cuter - than - me - that - b @ # $ * way ) .",wait staff, service general
"the food is yummy , especially their cooked - to - perfection mussels in spicy tomato sauce and their shoestring crispy fries .",food, food quality
"but the best part about ls is the late night atmosphere , delightfully free of the bts .",late night atmosphere, ambience general
"you can get a completely delish martini in a glass ( that  s about 2 1 / 2 drinks ) for $ 8 . 50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .",martini, drinks quality
"the in - house lady dj on saturday nights has outrageously good taste in music , and moreover , takes requests .",in - house lady dj, ambience general
you ca n  t go wrong with this place .,place, restaurant general
suan is a great place that i often take my friends ( classmates ) too .,suan, restaurant general
"its location is good and the fact that hutner college is near and their prices are very reasonable , makes students go back to suan again and again .",location, location general
i love their thai,thai, food quality
noodles with shrimp and chicken and coconut juice is the must !,noodles with shrimp and chicken and coconut juice, food quality
i will go back to suan soon !,suan, restaurant general
in summer - eat outside on a terrace ( another great feature of suan ) ! ! !,terrace, ambience general
i can not imagine a friendlier staff working in a restaurant .,staff, service general
i can not imagine better indian food in all of the city .,indian food, food quality
i can not imagine you not rushing out to eat there .,NULL, restaurant general
"during the course of the past 3 months , the chef and staff changed and it was not for the better .",chef, food quality
i wish they would change back to what it was before .,NULL, restaurant general
the food now is inconsistent .,food, food quality
this is the kind of place you  d like to take all your friends to and still keep a secret .,place, restaurant miscellaneous
the setting is casual and romantic .,setting, ambience general
prices are very good .,NULL, restaurant prices
the food is excellent !,food, food quality
"if you  re daring , try the balsamic vinegar over icecream , it  s wonderful !",balsamic vinegar over icecream, food quality
they were such a rip - off ( $ 8 . 95 for four small meat patties in steamed buns ) and not worth trying .,NULL, food quality
"the rest of the dim sum , though pricey by chinatown standards , is worth it .",dim sum, food prices
"the wait here is long for dim sum , but if you do n  t like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for chinatown ) alternative .",wait, service general
"a few tips : skip the turnip cake , roast pork buns and egg custards .",turnip cake, food quality
these are overpriced and you can get better just around the corner :,NULL, food prices
i was pleasantly suprised .,NULL, restaurant general
the food was exceptional .,food, food quality
"i choose to go with one of the special , the braised lamb shank in red wine , which was excellent .",braised lamb shank in red wine, food quality
the service was friendly and the atmosphere was casual .,service, service general
the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal, food quality
this little place has a cute interior decor and affordable city prices .,interior decor, ambience general
"the pad se ew chicken was delicious , however the pad thai was far too oily .",pad se ew chicken, food quality
"have eaten at ginger house several times , and it  s always good .",ginger house, restaurant general
the fried dumplings are great !,fried dumplings, food quality
finally a reliable chinese restaurant !,chinese restaurant, restaurant general
this place would be so much better served by being run by a group that actually understands customer service .,customer service, service general
"the only thing you can do here is walk in and eat . . but planning an event , especially a small , intimate one , forget about it .",NULL, restaurant miscellaneous
"they are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place , but also become hostile !",NULL, service general
"nobody at this restaurant will give firm answers about anything and in the end , not one person takes responsibility for anything .",NULL, service general
"terrible , terrible management - deserves to be shut - down .",management, service general
never fails to please .,NULL, restaurant general
"delicious bagels , especially when right out of the oven .",bagels, food quality
spreads and toppings are great - though a bit pricey .,spreads, food quality
service is fast and friendly .,service, service general
"only drawback - they wo n  t toast your bagel , and they do n  t make eggs for the bagel .",NULL, service general
but that is highly forgivable .,NULL, restaurant miscellaneous
"been there , done that , and new york , it  s not that big a deal .",NULL, restaurant general
"the food is decent at best , and the ambience , well , it  s a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying .",food, food quality
"if celebrities make you sweat , then your in for a ride , but if your like most around these parts then you  ll just yawn and wonder whats with all the hype .",NULL, restaurant miscellaneous
"rao is a good restaurant , but it  s nothing special .",rao, restaurant general
"but after last night , spice grill is the only place i  m eating indian cuisine .",indian cuisine, food quality
you must try the shrimp appetizers .,shrimp appetizers, food quality
even my indian friend could n  t believe how good and tasty everything was .,NULL, food quality
this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,ambience, ambience general
"great food , great prices , great service .",food, food quality
"if you are looking for a good quality , cheap eats - this is the place .",eats, food quality
it  s a perfect place to have a amazing indian food .,indian food, food quality
i really loved the different and inovated touch that  s the cheff gives to the food .,cheff, food style_options
"also it  s great to have dinner in a very romantic and comfortable place , the service it  s just perfect . . . they  re so frendly that we never want to live the place !",service, ambience general
"their bagels are fine , but they are a little overcooked , and not really a  special  bagel experience .",bagels, food quality
great bagels made the old - fashioned way .,bagels, food quality
drawbacks : service is slow and they do n  t toast !,service, service general
the food was absolutely amazing ! !,food, food quality
the baked clams octopus we shared as appetizers were the best we  ve ever had ! !,baked clams octopus, food quality
"the lamb was tender so full of flavor , the dessert was divine ! !",lamb, food quality
the waiter was attentive .,waiter, service general
the place itself is beautiful the bar scene seems to be happening .,place, ambience general
"downtown dinner 2002 - prixe fix : appetizers were ok , waiter gave me poor suggestion . . . try the potato stuff kanish best one .",appetizers, food quality
dessert is a joke . . . dont bother,dessert, food quality
"volare virgins or weekly regulars , everyone gets treated the same and you ca n  t ask for more than that when the service is this friendly .",service, service general
"the restaurant has a family feel , not least with regard to the portions which are enormous ; the veal alone could have single - handedly solved third world famine .",restaurant, ambience general
"the anti - pasta was excellent , especially the calamari , as were the filling pasta mains .",anti - pasta, food quality
the wine list is extensive and can easily hike up an otherwise reasonably priced meal .,wine list, drinks style_options
"still , any quibbles about the bill were off - set by the pour - your - own measures of liquers which were courtesey of the house . . .",measures of liquers, drinks style_options
fantastic place .,place, restaurant general
a pleasant surprise .,NULL, restaurant general
go there to relax and feel like your somewhere else .,NULL, ambience general
lucky strike is a great casual place to just grab a bite to eat .,lucky strike, restaurant general
"great food , great decor , great service .",food, food quality
i recommend it !,NULL, restaurant general
"this is the perfect spot for meeting friends , having lunch , dinner , pre - theatre or after - theatre drinks !",spot, restaurant miscellaneous
( always ask the bartender for the seasonal beer ! ! !,seasonal beer, drinks quality
guaranteed to be a tasty experience ! ),NULL, drinks quality
i have been doing all of the above at the heartland brewery for over 5 years now and i have never been disappointed !,heartland brewery, restaurant general
all the people that i bring there go back on their own and bring their friends !,NULL, restaurant miscellaneous
go there once and oh yes . . . you will go back . . . you will . . .,NULL, restaurant general
"a cool bar with great food , and tons of excellent beer .",bar, ambience general
and even with it  s pub atmosphere they were great to my kids too !,NULL, service general
loved it !,NULL, restaurant general
the shrimp scampi was excellent and the antipasti were plentiful .,shrimp scampi, food quality
it is expensive but well worth the money .,NULL, restaurant prices
"if you venture off the island of manhattan and ca n  t seem to find a great italian restaurant , drive to corona .",corona, restaurant general
the only thing more wonderful than the food ( which is exceptional ) is the service .,food, food quality
the only thing the waiters do n  t do for you is wipe your chin when you leave .,waiters, service general
wonderful at holiday time .,NULL, restaurant miscellaneous
cozy romantic atomosphere with only around 15 tables at most .,atomosphere, ambience general
"food was very good , but not what i would consider out of this world .",food, food quality
go here for a romantic dinner but not for an all out wow dining experience .,NULL, ambience general
my friend from milan and myself were pleasantly surprised when we arrived and everyone spoke italian .,NULL, restaurant miscellaneous
too bad the food was n  t of the same heritage .,food, food quality
"the porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",porcini mushroom pasta special, food quality
a real dissapointment .,NULL, food quality
but that was n  t the icing on the cake : a tiramisu that resembled nothing i have ever had .,tiramisu, food quality
they should have called it mascarpone with chocolate chips - good but a far cry from what the name implies .,NULL, food quality
priced at upper intermediate range .,NULL, restaurant prices
it was pretty inexpensive too .,NULL, restaurant prices
this place has the best chinese style bbq ribs in the city .,bbq ribs, food quality
it  s great to go for a quick lunch either alone or with a friend .,NULL, restaurant miscellaneous
it  s definately not a place to go if you want to impress someone .,place, restaurant miscellaneous
"however , if you want great food at a great price and do n  t mind the decor , you ca n  t beat this place .",food, food quality
quick and friendly service .,service, service general
this is one of the best comfort food places in the city .,NULL, restaurant general
it  s somewhere you can eat and be happy .,NULL, restaurant general
"when you  re sitting in their main dining room ( which has a spectacular , hand - painted high ceiling ) you  d never know there was a world outside .",main dining room, ambience general
"the food is wonderful , tasty and filling , and the service is professional and friendly .",food, food quality
"i ca n  t wait for summer , when they serve outside on their gigantic patio .",patio, ambience general
this little place definitely exceeded my expectations and you sure get a lot of food for your money .,food, food style_options
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,service, service general
i have to say that i am pleasantly suprised and i will most likely stop in again if i am in the neighborhood .,NULL, restaurant general
they all know you .,NULL, service general
good food .,food, food quality
good drink .,drink, drinks quality
